"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SGP","Singapore","2018","2018",190,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","TLS","Timor-Leste","2018","2018",24339,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","PAN","Panama","2018","2018",3838,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","STP","Sao Tome and Principe","2018","2018",430,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SLV","El Salvador","2015","2015",10291,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SLV","El Salvador","2016","2016",11265,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SLV","El Salvador","2017","2017",11986,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","SLV","El Salvador","2018","2018",11413,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40550","Small Island Developing States","2014","2014",632677,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40550","Small Island Developing States","2015","2015",635147,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40550","Small Island Developing States","2016","2016",618527,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40550","Small Island Developing States","2017","2017",625474,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40550","Small Island Developing States","2018","2018",632157,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40550","Small Island Developing States","2019","2019",638481,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40612","Asia (Central)","2014","2014",4873,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40612","Asia (Central)","2015","2015",4763,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40612","Asia (Central)","2016","2016",4647,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40612","Asia (Central)","2017","2017",4544,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40612","Asia (Central)","2018","2018",4643,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40612","Asia (Central)","2019","2019",4413,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MDA","Republic of Moldova","2014","2014",602,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BGD","Bangladesh","2014","2014",2357299,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BGD","Bangladesh","2015","2015",2132874,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BGD","Bangladesh","2016","2016",1412241,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BGD","Bangladesh","2017","2017",1320063,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BGD","Bangladesh","2018","2018",1284286,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BGD","Bangladesh","2019","2019",988851,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GEO","Georgia","2014","2014",897,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GEO","Georgia","2017","2017",589,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","SAU","Saudi Arabia","2017","2017",17033,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","LBN","Lebanon","2018","2018",987,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MKD","North Macedonia","2014","2014",2142,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GRC","Greece","2018","2018",4807,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","VNM","Viet Nam","2018","2018",112520,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TJK","Tajikistan","2014","2014",834,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40535","South and West Asia","2014","2014",27113132,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40535","South and West Asia","2015","2015",25020523,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40535","South and West Asia","2016","2016",22854681,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40535","South and West Asia","2017","2017",21911961,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40535","South and West Asia","2018","2018",20550640,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40535","South and West Asia","2019","2019",19195836,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","VEN","Venezuela (Bolivarian Republic of)","2015","2015",34661,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","VEN","Venezuela (Bolivarian Republic of)","2016","2016",40373,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","AZE","Azerbaijan","2014","2014",518,"+","National Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","AZE","Azerbaijan","2015","2015",624,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","AZE","Azerbaijan","2016","2016",624,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","AZE","Azerbaijan","2017","2017",621,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ERI","Eritrea","2018","2018",19511,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MLT","Malta","2018","2018",103,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","NAM","Namibia","2018","2018",14203,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PRY","Paraguay","2014","2014",7128,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PRY","Paraguay","2015","2015",11366,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PRY","Paraguay","2016","2016",12391,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PRY","Paraguay","2018","2018",15607,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HTI","Haiti","2016","2016",186795,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ESP","Spain","2014","2014",7033,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ESP","Spain","2015","2015",6803,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ESP","Spain","2016","2016",8703,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ESP","Spain","2018","2018",5593,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","CAF","Central African Republic","2018","2018",263922,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","LVA","Latvia","2018","2018",193,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40515","East Asia and the Pacific","2014","2014",2522667,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40515","East Asia and the Pacific","2015","2015",2340827,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40515","East Asia and the Pacific","2016","2016",2285112,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40515","East Asia and the Pacific","2017","2017",2227233,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40515","East Asia and the Pacific","2018","2018",2223398,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40515","East Asia and the Pacific","2019","2019",2156639,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40540","Sub-Saharan Africa","2014","2014",19891115,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40540","Sub-Saharan Africa","2015","2015",20186854,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40540","Sub-Saharan Africa","2016","2016",20616372,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40540","Sub-Saharan Africa","2017","2017",21011233,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40540","Sub-Saharan Africa","2018","2018",21494951,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40540","Sub-Saharan Africa","2019","2019",21925324,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","COM","Comoros","2018","2018",17993,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","KAZ","Kazakhstan","2018","2018",701,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MDA","Republic of Moldova","2014","2014",553,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40044","Low income countries","2014","2014",14752099,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40044","Low income countries","2015","2015",15017285,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","40044","Low income countries","2016","2016",15376666,,
